611	15
725	15
23	19
727	5
606	8
772	5
264	19
237	9
507	19
493	10
233	8
31	14
394	15
724	15
89	18
15	9
182	10
234	12
196	14
605	15
647	15
221	15
33	17
749	15
177	16
72	5
89	0
445	4
90	7
36	12
492	14
492	1
445	9
495	8
145	9
631	14
389	19
273	6
183	14
378	16
231	15
756	15
239	7
145	19
77	3
25	10
236	0
442	17
606	12
443	18
236	15
621	17
239	9
534	6
675	15
90	9
145	14
54	17
487	13
235	5
177	0
268	15
196	9
31	13
237	0
751	9
495	5
606	2
487	2
110	15
64	19
196	11
728	13
748	1
89	5
177	8
272	15
727	13
215	15
81	15
32	0
236	16
89	11
557	12
735	11
157	8
749	16
631	10
212	15
461	15
274	6
189	6
450	2
237	15
358	1
718	15
216	11
239	17
239	18
58	8
356	19
15	15
425	15
36	14
557	5
488	12
463	19
787	4
71	3
718	6
31	2
235	16
391	19
183	3
115	15
445	7
444	12
127	16
32	11
756	0
609	15
182	1
233	19
750	15
728	17
57	14
487	15
243	9
58	14
236	12
633	13
218	15
730	0
421	2
39	19
524	15
15	5
182	2
442	0
786	19
442	14
479	2
552	19
727	11
443	16
763	9
232	9
241	9
442	7
343	4
233	15
89	16
80	15
439	19
57	4
34	9
756	9
504	2
794	15
487	1
801	19
196	8
494	14
237	7
640	5
727	18
358	8
183	15
728	9
394	6
235	18
466	12
748	8
369	12
532	5
16	9
114	15
493	12
755	9
616	4
557	9
313	19
484	6
157	15
217	9
369	14
592	11
71	17
81	3
31	8
743	15
62	19
53	8
420	4
750	5
495	9
156	15
181	10
636	17
271	6
212	8
236	7
633	10
446	12
645	15
240	9
272	6
32	15
52	4
269	3
442	12
456	4
241	15
11	15
513	15
557	2
243	18
36	8
235	17
729	1
340	19
242	9
442	1
647	14
633	0
729	0
469	14
826	19
41	19
206	16
442	13
19	9
621	15
123	15
23	15
33	15
171	14
379	15
728	11
245	15
377	19
63	14
487	9
67	3
181	0
343	15
425	8
57	8
443	17
633	5
269	6
748	5
749	17
536	17
353	5
487	17
93	15
754	19
785	10
271	19
67	6
168	14
234	19
443	9
492	15
749	5
234	9
646	14
506	16
607	17
792	15
346	1
445	12
265	15
474	19
546	8
444	9
686	6
487	7
558	15
238	15
494	1
389	15
636	12
305	15
40	19
687	15
378	15
395	15
242	18
757	9
730	5
240	17
538	15
358	14
830	2
830	12
633	11
34	13
633	9
504	16
35	19
197	9
587	15
508	15
755	19
749	13
442	16
244	9
234	15
443	13
608	15
749	0
196	7
73	15
71	15
729	13
759	9
757	15
749	1
31	5
443	10
729	5
390	15
33	18
196	1
264	15
726	15
62	14
175	5
487	8
16	5
395	6
16	15
237	17
830	5
495	15
232	8
755	15
285	15
25	2
233	12
487	18
216	15
88	9
727	14
577	15
461	19
536	15
633	15
557	8
748	9
236	5
470	15
128	15
79	3
233	9
358	12
669	15
212	5
583	15
728	15
237	18
751	5
34	11
604	15
235	7
534	5
761	9
538	4
830	8
723	15
121	3
6	19
89	17
238	16
212	9
89	9
730	15
234	8
82	17
212	14
463	14
588	3
633	7
487	6
127	15
221	19
443	0
31	1
645	19
32	5
466	15
729	7
442	18
492	12
396	15
299	15
134	8
758	15
53	4
182	12
553	9
791	4
181	8
67	5
637	15
90	15
11	19
447	15
517	19
515	15
727	7
748	0
681	19
88	15
378	19
378	14
442	10
388	15
722	14
729	9
446	18
240	15
494	10
532	3
216	9
155	3
469	15
309	15
785	1
216	12
495	12
421	15
492	5
506	0
817	11
636	16
620	5
19	15
34	7
134	12
727	8
58	12
444	15
612	15
243	15
237	14
487	10
235	15
10	15
463	15
446	7
60	19
274	15
169	15
749	8
487	12
746	15
170	15
323	14
217	15
487	0
772	17
729	18
603	15
443	7
762	15
492	10
237	13
532	15
212	2
31	16
238	9
212	12
724	9
466	9
616	5
748	15
756	10
447	18
25	14
236	14
145	15
127	5
271	15
727	17
750	0
473	15
728	5
651	14
633	8
503	1
88	18
25	1
31	10
444	18
418	3
761	15
63	19
442	9
611	6
631	12
760	0
481	15
503	8
533	15
31	11
445	18
57	12
89	15
728	18
239	12
421	8
174	1
273	19
31	0
749	12
723	9
232	19
238	17
174	14
443	12
651	8
182	8
275	6
727	15
637	17
236	13
646	19
383	16
445	15
481	19
830	3
609	5
284	15
232	12
719	6
245	9
727	16
72	15
748	10
25	12
115	19
730	13
89	7
492	0
236	17
620	15
728	1
259	15
750	10
163	6
31	9
189	15
772	15
31	18
21	15
492	17
32	9
827	15
241	5
603	17
60	12
517	15
443	5
493	19
633	18
447	4
238	14
244	15
756	5
558	12
760	9
553	19
314	19
